TPCH_QUERY1_TOP10_FROM10, Union, Precision=0.9629629629629629, Recall=1.0
TPCH_QUERY1_TOP10_FROM10, FD, Precision=0.9629629629629629, Recall=1.0
TPCH_QUERY1_TOP10_FROM10, FDP_Plus, Precision=0.9629629629629629, Recall=1.0
,,,
TPCH_QUERY2_TOP2_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP2_FROM10, Union, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP2_FROM10, FD, Precision=0.5, Recall=1.0
TPCH_QUERY2_TOP2_FROM10, FDP_Plus, Precision=0.375, Recall=1.0
,,,
TPCH_QUERY2_TOP3_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP3_FROM10, Union, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP3_FROM10, FD, Precision=0.5, Recall=1.0
TPCH_QUERY2_TOP3_FROM10, FDP_Plus, Precision=0.375, Recall=1.0
,,,
TPCH_QUERY2_TOP4_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP4_FROM10, Union, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP4_FROM10, FD, Precision=0.5, Recall=1.0
TPCH_QUERY2_TOP4_FROM10, FDP_Plus, Precision=0.375, Recall=1.0
,,,
TPCH_QUERY2_TOP5_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP5_FROM10, Union, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP5_FROM10, FD, Precision=0.5, Recall=1.0
TPCH_QUERY2_TOP5_FROM10, FDP_Plus, Precision=0.375, Recall=1.0
,,,
TPCH_QUERY2_TOP6_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP6_FROM10, Union, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP6_FROM10, FD, Precision=0.5, Recall=1.0
TPCH_QUERY2_TOP6_FROM10, FDP_Plus, Precision=0.375, Recall=1.0
,,,
TPCH_QUERY2_TOP7_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP7_FROM10, Union, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP7_FROM10, FD, Precision=0.5, Recall=1.0
TPCH_QUERY2_TOP7_FROM10, FDP_Plus, Precision=0.375, Recall=1.0
,,,
TPCH_QUERY2_TOP8_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP8_FROM10, Union, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP8_FROM10, FD, Precision=0.5, Recall=1.0
TPCH_QUERY2_TOP8_FROM10, FDP_Plus, Precision=0.375, Recall=1.0
,,,
TPCH_QUERY2_TOP9_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP9_FROM10, Union, Precision=0.0, Recall=0.0
